id;name;host_id;neighbourhood_group;latitude;longitude;is_entire_home;price;number_of_reviews;last_review
32347;Explore Cultural Sights from a Family-Friendly Apartment;139939;Casco Antiguo;37.39468;-6.00183;true;99;168;08/01/2020
49287;BEAUTIFUL APARTMENT IN SEVILLE;224697;Casco Antiguo;37.39855;-5.99365;true;49;42;17/02/2020
94187;(2) ROOM + PRIVATE BATHROOM. CASA DEL BUEN VIAJE;503692;Casco Antiguo;37.39012;-5.98676;false;59;75;05/06/2019
108568;TERRACE ALAMEDA. WIFI GARAGE DOWNTOWN;589600;Casco Antiguo;37.39939;-5.99237;true;70;81;29/12/2019
116703;Walk to the Cathedral!! ATICO DUPLEX, WIFI.;589600;Casco Antiguo;37.3868;-5.99666;true;65;165;15/03/2020
117278;Walk to the Cathedral!! DUPLEX ARENAL, WIFI.;589600;Casco Antiguo;37.38595;-5.997;true;58;102;01/03/2020
120619;PALACE HOUSE, 30 €,----;606762;Casco Antiguo;37.38814;-5.99399;false;35;667;03/12/2019
144918;Cozy apartment in Triana, Seville;701871;Triana;37.38222;-5.99989;true;46;168;27/09/2020
159596;apto lujo 2 D en el Arenal (Sevilla);629861;Casco Antiguo;37.38456;-5.99583;true;106;1;24/11/2019
179629;Bamberg Duplex Private Terrace Old town 5 pax;860055;Casco Antiguo;37.38948;-5.99238;true;88;151;02/01/2021
185356;Macarena Romans Walls 7 pax;860055;Macarena;37.4011;-5.98396;true;104;105;25/10/2020
201209;Esmeralda Apartment - VFT/SE/00620;983968;Macarena;37.41096;-5.98477;true;60;57;05/01/2020
207702;Tirso I, 7 minutes walk from the Cathedral;1022533;Casco Antiguo;37.38945;-5.99889;true;77;308;05/03/2020
217440;PALACE HOUSE Room center sevilla B;606762;Casco Antiguo;37.3885;-5.99344;false;34;717;12/03/2020
227905;HISTORIC ROOM, CENTER OF SEVILLE;1188880;Casco Antiguo;37.3948;-6.00121;false;30;83;03/10/2020
253430;Apartment in historic center. WIFI;1330663;Casco Antiguo;37.39002;-5.99061;true;50;214;15/03/2020
266016;nice loft it the Center, wifi;1391956;Nervión;37.38081;-5.98592;true;68;339;08/03/2020
272934;NEAR TOWN HALL APARTMENT, WIFI+A/C;1428269;Casco Antiguo;37.38874;-5.99297;true;75;232;15/02/2021
273981;NEAR TOWN HALL APARTMENT, WIFI+A/C, 2 bedrooms;1428269;Casco Antiguo;37.39006;-5.99521;true;75;106;03/01/2021
288900;Lovely and cozy 75 m2 apartment. No fees!;1501115;Cerro - Amate;37.37064;-5.95717;true;46;302;13/09/2020
298673;Corral del Coliseo -WiFi - VFT/SE/00432;264346649;Casco Antiguo;37.39362;-5.99065;true;61;378;19/07/2020
315971;ROOM WITH A VIEW ON ROOF.;1188880;Casco Antiguo;37.39493;-5.99899;false;30;401;31/10/2020
321192;Center with free parking - wifi;1643754;Nervión;37.39236;-5.98361;true;43;361;21/02/2021
366257;Penthouse with¡Large Private Terrac¡Wifi.Triana-Se;1848992;Triana;37.38657;-6.00551;true;50;330;26/07/2020
384727;Private Room  in Center of Seville;1920069;Casco Antiguo;37.38498;-5.9944;false;35;655;05/10/2020
394083;SAN BERNARDO. PARKING + WIFI+ A/C;1428269;Nervión;37.38197;-5.98289;true;65;320;17/12/2020
398966;CASTELLAR APARMENT, CENTRAL PERFECT;1992907;Casco Antiguo;37.39634;-5.98925;true;43;207;18/03/2020
402692;Lovely double and single in Seville;1966927;Los Remedios;37.37672;-5.99865;false;38;102;23/02/2020
408801;Bright apartment in La Macarena;2035589;Macarena;37.41103;-5.98806;true;48;62;01/11/2020
426133;Cool, stylish studio in authentic Triana;2118460;Triana;37.38851;-6.00727;true;48;242;16/10/2020
426401;Apartment Redes 15 (Sevilla) B;2120026;Casco Antiguo;37.39452;-6.00009;true;58;71;23/03/2020
427314;3 bedr,3 bath.Exclusive town center;2124038;Casco Antiguo;37.38951;-5.99833;true;179;79;10/11/2019
435402;Charming Sevilla centerAlameda;2162363;Casco Antiguo;37.39573;-5.9959;true;59;306;02/03/2020
455380;Alameda Penthouse. 2 bedrooms, private terrace;2263272;Casco Antiguo;37.39812;-5.99138;true;141;96;21/11/2020
462899;Room+priv. bath Center of Seville!;2300263;Casco Antiguo;37.3923;-5.99043;false;311;417;27/09/2018
471876;A11. 5. Don Juan. Alegre con Balcones al Exterior?;2204184;Casco Antiguo;37.38916;-6.00043;true;79;101;06/03/2020
481991;El ático de las tejas rojas;2325204;Casco Antiguo;37.39114;-5.99127;true;71;121;13/03/2020
488406;Santamaria PrivateTerrace  Historical center 7 pax;860055;Casco Antiguo;37.38812;-5.99227;true;186;199;08/08/2020
525845;Stunning Apartment in Great Triana. VFT/SE/00724;2584848;Triana;37.38335;-6.00544;true;63;54;10/12/2019
530580;Peaceful-centric-WiFi-parking+15€/d;2605665;Casco Antiguo;37.38894;-5.98804;true;90;238;26/02/2020
531891;8 people, 50 meters to cathedral;2614256;Casco Antiguo;37.38694;-5.99498;true;135;278;15/03/2020
532392;Apartment Alfarería;2616444;Triana;37.38502;-6.0046;true;101;447;30/11/2020
540257;Special Colors Apartment;2654826;Casco Antiguo;37.39162;-5.9906;true;27;515;17/01/2021
554494;1Bdr Apartment Historic Center I;2426762;Casco Antiguo;37.38925;-5.99005;true;29;207;17/01/2021
568062;Private room in historical center Triana;2795069;Triana;37.38653;-6.00589;false;19;128;19/11/2018
584921;1Bdr apt historic center Alfalfa II;2426762;Casco Antiguo;37.38943;-5.9902;true;29;244;01/02/2021
586027;Apartament (Redes 15 Sevilla) A;2120026;Casco Antiguo;37.39377;-6.00014;true;57;60;10/03/2020
588265;Apartment Seville Center_ Ático;2842843;Casco Antiguo;37.38924;-5.99715;true;74;31;13/12/2015
588404;Apartment Seville Center _ Bóveda;2842843;Casco Antiguo;37.38876;-5.99855;true;66;15;10/12/2014
588488;Apartment Seville Center_ Double-H;2842843;Casco Antiguo;37.38832;-5.9972;true;63;7;03/06/2013
592830;Centro Sevilla - Parking - Patio sevillano - Wi-Fi;2926391;Casco Antiguo;37.38866;-5.98764;true;90;144;04/03/2020
597776;CALM&COZY  LOFT, ALFALFA SETAS SQUARE,WIFI+A/C;2955713;Casco Antiguo;37.39138;-5.98964;true;85;300;08/03/2020
609522;Azul, Nice apart. Historic center;2901559;Casco Antiguo;37.39563;-5.99565;true;49;194;08/03/2020
613844;HISTORICAL CENTER SEVILLE  WIFI+A/C;3043319;Casco Antiguo;37.3912;-5.98944;true;80;347;01/03/2020
619225;NEXT TO ALL: DOWNTOWN, CENTER&RIVER;3067388;Los Remedios;37.37785;-6.00144;false;13;6;29/08/2020
629723;Contemporary Loft Space in Historic City Center;3121992;Casco Antiguo;37.3951;-5.99294;true;79;186;16/01/2021
630400;COZY BEDROOM CLOSE CENTER SEVILLA;3067388;Los Remedios;37.37761;-6.00041;true;150;2;27/01/2013
636468;Hostly Lagar-Best value flat in the center - CLess;3173171;Casco Antiguo;37.39106;-5.99269;true;43;435;06/11/2020
651018;The  balcony  of  the  lovers;3268817;Casco Antiguo;37.38936;-5.99658;false;70;1;07/05/2015
653685;Independent Center Room+Private bathroom+Terrace;3287873;Casco Antiguo;37.38613;-5.9977;false;62;16;12/10/2019
656013;CONFROTABLE  SUITE CENTER OF SEVILLE, WIFI;2705030;Casco Antiguo;37.39081;-5.99306;true;35;94;12/10/2020
659379;ÁTICO CENTRO 2 TERRAZAS, 2 ROOMS, WIFI, ASCENSOR;3326392;Casco Antiguo;37.39649;-5.99044;true;90;51;30/11/2019
670453;GREAT HOUSE IN SEVILLE DOWNTOWN;3397312;Casco Antiguo;37.38813;-5.99053;true;124;59;28/11/2019
678283;Apartment historic center, private terrace + WiFi;2426762;Casco Antiguo;37.39069;-5.98913;true;32;265;31/01/2021
688140;GREAT PRIVATE TERRACE IN SANTA CRUZ CENTER.;2705030;Casco Antiguo;37.38458;-5.99037;true;700;171;15/03/2020
692388;Rooms for groups in the centre-WIFI;3540583;Sur;37.37343;-5.98129;true;874;26;08/03/2020
701737;central and charming with terrace;3601410;Casco Antiguo;37.39092;-5.99663;true;36;64;20/12/2019
701999;Apartment In Heaven Triana;3603333;Triana;37.38629;-6.00578;true;83;66;23/02/2020
702998;NICE FLAT, 2 TV's AND FREE WIFI;3609455;Casco Antiguo;37.39026;-5.98604;true;26;190;19/02/2021
705652;Historic home downtown Seville1;3625249;Casco Antiguo;37.39639;-5.99918;false;42;359;14/03/2020
705697;Room near center +breakfast;3625534;Triana;37.37735;-6.00529;false;25;196;22/01/2021
714300;CHIC FLAT IN  THE HEART OF SEVILLA;3678775;Casco Antiguo;37.39162;-5.99077;true;65;189;09/03/2020
721483;Historic home  Seville.room2;3625249;Casco Antiguo;37.39752;-5.99779;false;42;323;08/03/2020
721598;Casa histórica centro Sevilla.room3;3625249;Casco Antiguo;37.39642;-5.99713;false;23;413;12/10/2020
721624;Casa histórica centro Sevilla.room4;3625249;Casco Antiguo;37.39617;-5.99761;false;23;425;01/10/2020
721753;Apartment in the historic center- VFT/SE/00056;3726424;Casco Antiguo;37.39135;-5.98942;true;65;260;30/10/2020
724060;Room in the centre of Seville;3743082;Nervión;37.38607;-5.98482;false;61;211;22/12/2019
724177;Centro en la Maestranza especial;1391956;Casco Antiguo;37.38536;-5.99719;true;65;233;06/03/2020
725287;Habitación Tranquila, Luminosa, A/C en Triana;1513237;Triana;37.38097;-6.00047;false;35;182;18/12/2020
726220;Apartment in the center of Seville;3757143;Casco Antiguo;37.39189;-6.0003;true;60;118;20/11/2019
726333;DOWNTOWN APARTMENT SEVILLA;3758426;Casco Antiguo;37.39346;-6.00013;true;50;175;25/10/2020
727016;Beautiful apart in the best centr 1;2124038;Casco Antiguo;37.38951;-5.99833;true;100;7;29/04/2018
727025;Great apartment in the old town 2;2124038;Casco Antiguo;37.38951;-5.99833;true;132;45;21/10/2019
727030;2 bedr,3 bath in the old town (3);2124038;Casco Antiguo;37.38951;-5.99833;true;132;21;04/04/2018
727034;Luxury apart in the best centre (4);2124038;Casco Antiguo;37.38951;-5.99833;true;141;124;19/07/2020
738380;APARTMENT WITH PRIVATE TERRACE;3858271;Casco Antiguo;37.40294;-5.99363;true;50;232;05/01/2021
738857;Private room in the historic center;3859217;Casco Antiguo;37.40134;-5.98888;false;41;70;23/02/2020
742801;PALACE HOUSE Apt Giralda view WIFI;3889491;Casco Antiguo;37.38922;-5.99178;true;73;353;12/10/2020
743798;5 min to cathedral, for 6 persons;2614256;Casco Antiguo;37.38813;-5.9976;true;28;24;10/09/2019
